Grantee,project_name,Program
Blocksmith.js,blocksmith-adraffy,Amplifying Impact
Eth.limo,eth-limo,Amplifying Impact
Switch Electric,whynotswitch,Amplifying Impact
The Solar Foundation,,Amplifying Impact
SeaBrick by Kelp Island,seabrick,Amplifying Impact
Fluid Key,fluidkey,Amplifying Impact
Zer8 / Mashal,,Cartographers Syndicate
"Trustful",trustful-blockful-io,Cartographers Syndicate
ecosystem.vision,ecosystemvision,Cartographers Syndicate
Open Source Observer,opensource-observer,Cartographers Syndicate
x23.ai,x23-ai,Cartographers Syndicate
Mizuki Art Contest,mizuki,FireStarters
Arbimistic Governance Module (Optimistic Governance Module)	,arbimistic-governor-vincfurc,FireStarters
SheFi,,FireStarters
Arbitrum Treasury and Sustainability Working Group,,FireStarters
Passport,passportxyz,FireStarters
Astral,astralprotocol,FireStarters
Hypercerts for Arbitrum,hypercerts,FireStarters
Ethereal Forest,,Gitcoin GG20
Event Horizon,hvax,Gitcoin GG20
L2Beat,l2beat,Gitcoin GG20
Open Zeppelin Contracts,openzeppelin,Gitcoin GG20
Pheasant Network,pheasant-network,Gitcoin GG20
Blockscout Open-Source Block Explorer,blockscout,Gitcoin GG21
CoindPay,coindlabs,Gitcoin GG21
Ethereum Attestation Service (EAS),ethereum-attestation-service,Gitcoin GG21
rotki,rotki,Gitcoin GG21
ZKT Network,zktlabs,Gitcoin GG21
Drivyx,drivyx-tech,GivARB
Glo Dollar,glo-foundation,GivARB
Decentralized Cleanup Network,decleanup-dcu,GivARB
ReFi Medellin,refimedellin,GivARB
Web3 local community governance,urbanika,GivARB
Vifi,,Oasis
GMetarave: Beats,,Oasis
Harassment App,,Oasis
"Bitsave Protocol
",bitsave-cryptosmartnow,Oasis
Kairos Portfolio Tracker ,kairosresearch,Oasis
Forking Wisdom,,Oasis
Coral Connect Dapp on Arbitrum,coral-connect,Refi on ARB
"OperationWeb3Tree
",operationweb3tree,Refi on ARB
Diva Donate,diva-donate-app-walodja1987,Refi on ARB
Tech and Sun(TAS) by GreenPill Nigeria,,Refi on ARB
RootedLabs,rootedlabs,Refi on ARB
Arbitrum RWA Analytics Dashboard - PYOR,,RWA
Truflation,,RWA
Jia,,RWA
Mystic Finance,,RWA
Frictionless Institutional Cash & Deposit Tokens,,RWA
Infinfty,,RWA
